token_id,chain_id,contract_address,source,name,symbol,is_active,last_updated,search_id,decimals
1-0x0c04ff41b11065eed8c9eda4d461ba6611591395,1,0x0c04ff41b11065eed8c9eda4d461ba6611591395,coinmarketcap,VIVEK,TRUTH,true,2024-10-22 02:10:00.076595+00,32012,9
1-0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,1,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,coinmarketcap,Decentralized USD,USDD,true,2024-10-22 02:15:00.105077+00,19891,18
1-0x0c7d5ae016f806603cb1782bea29ac69471cab9c,1,0x0c7d5ae016f806603cb1782bea29ac69471cab9c,coinmarketcap,Bifrost,BFC,true,2024-10-22 02:14:00.080781+00,7817,18
1-0x0c90c57aaf95a3a87eadda6ec3974c99d786511f,1,0x0c90c57aaf95a3a87eadda6ec3974c99d786511f,coinmarketcap,HanChain,HAN,true,2024-10-22 02:16:00.07793+00,23146,18
1-0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,1,0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,coinmarketcap,PoolTogether,POOL,true,2024-10-22 02:10:00.076595+00,8508,18
1-0x0d02755a5700414b26ff040e1de35d337df56218,1,0x0d02755a5700414b26ff040e1de35d337df56218,coinmarketcap,BEND Token,BEND,true,2024-10-22 02:15:00.105077+00,19162,18
1-0x0d438f3b5175bebc262bf23753c1e53d03432bde,1,0x0d438f3b5175bebc262bf23753c1e53d03432bde,coinmarketcap,Wrapped NXM,wNXM,true,2024-10-22 02:15:00.105077+00,5939,18
1-0x0d4b4da5fb1a7d55e85f8e22f728701ceb6e44c9,1,0x0d4b4da5fb1a7d55e85f8e22f728701ceb6e44c9,coinmarketcap,DigiMax,DGMT,true,2024-10-22 02:16:00.07793+00,6025,18
1-0x0d8775f648430679a709e98d2b0cb6250d2887ef,1,0x0d8775f648430679a709e98d2b0cb6250d2887ef,coinmarketcap,Basic Attention Token,BAT,true,2024-10-22 02:18:00.077743+00,1697,18
1-0x0d88ed6e74bbfd96b831231638b66c05571e824f,1,0x0d88ed6e74bbfd96b831231638b66c05571e824f,coinmarketcap,Avt,AVT,true,2024-10-22 02:12:00.06871+00,1948,18
1-0x0dcee5f694e492f0dd842a7fbe5bed4c6e4665a6,1,0x0dcee5f694e492f0dd842a7fbe5bed4c6e4665a6,coinmarketcap,Catboy,CATBOY,true,2024-10-22 02:17:00.090605+00,28647,18
1-0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,1,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,coinmarketcap,Po.et,POE,true,2024-10-22 02:15:00.105077+00,1937,8
1-0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd,1,0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd,coinmarketcap,Hakka Finance,HAKKA,true,2024-10-22 02:08:00.070009+00,6622,18
1-0x0e7f79e89ba8c4a13431129fb2db0d4f444b5b9a,1,0x0e7f79e89ba8c4a13431129fb2db0d4f444b5b9a,coinmarketcap,Xank,XANK,true,2024-10-22 02:19:00.06987+00,5659,16
1-0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,1,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,coinmarketcap,Abyss,ABYSS,true,2024-10-22 02:11:00.05839+00,2847,18
1-0x0ea984e789302b7b612147e4e4144e64f21425eb,1,0x0ea984e789302b7b612147e4e4144e64f21425eb,coinmarketcap,WaleTokeN,WTN,true,2024-10-22 02:12:00.06871+00,3484,8
1-0x0f2d719407fdbeff09d87557abb7232601fd9f29,1,0x0f2d719407fdbeff09d87557abb7232601fd9f29,coinmarketcap,Synapse,SYN,true,2024-10-22 02:19:00.06987+00,12147,18
1-0x0f51bb10119727a7e5ea3538074fb341f56b09ad,1,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,coinmarketcap,DAO Maker,DAO,true,2024-10-22 02:10:00.076595+00,8420,18
1-0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,coinmarketcap,Decentraland,MANA,true,2024-10-22 02:10:00.076595+00,1966,18
1-0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,1,0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,coinmarketcap,Arcona Distribution Contract,ARCONA,true,2024-10-22 02:14:00.080781+00,6218,18
1-0x0f8794f66c7170c4f9163a8498371a747114f6c4,1,0x0f8794f66c7170c4f9163a8498371a747114f6c4,coinmarketcap,Flama,FMA,true,2024-10-22 02:14:00.080781+00,5857,18
1-0x0f8c45b896784a1e408526b9300519ef8660209c,1,0x0f8c45b896784a1e408526b9300519ef8660209c,coinmarketcap,XMAX,XMX,true,2024-10-22 02:14:00.080781+00,2859,8
1-0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,1,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,coinmarketcap,Pundi X,PUNDIX,true,2024-10-22 02:19:00.06987+00,9040,18
1-0x0ff6ffcfda92c53f615a4a75d982f399c989366b,1,0x0ff6ffcfda92c53f615a4a75d982f399c989366b,coinmarketcap,Unilayer,LAYER,true,2024-10-22 02:10:00.076595+00,6638,18
1-0x102c776ddb30c754ded4fdcc77a19230a60d4e4f,1,0x102c776ddb30c754ded4fdcc77a19230a60d4e4f,coinmarketcap,Flooring Lab Credit,FLC,true,2024-10-22 02:15:00.105077+00,28270,18
1-0x1063181dc986f76f7ea2dd109e16fc596d0f522a,1,0x1063181dc986f76f7ea2dd109e16fc596d0f522a,coinmarketcap,Cybria,CYBA,true,2024-10-22 02:17:00.090605+00,28166,9
1-0x1063ce524265d5a3a624f4914acd573dd89ce988,1,0x1063ce524265d5a3a624f4914acd573dd89ce988,coinmarketcap,Aigang,AIX,true,2024-10-22 02:09:00.062665+00,2367,18
1-0x111111111117dc0aa78b770fa6a738034120c302,1,0x111111111117dc0aa78b770fa6a738034120c302,coinmarketcap,1INCH Token,1INCH,true,2024-10-22 02:15:00.105077+00,8104,18
1-0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6,1,0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6,coinmarketcap,ICHI,ICHI,true,2024-10-22 02:14:00.080781+00,7726,18
1-0x11613b1f840bb5a40f8866d857e24da126b79d73,1,0x11613b1f840bb5a40f8866d857e24da126b79d73,coinmarketcap,Cappasity,CAPP,true,2024-10-22 02:16:00.07793+00,2248,2
1-0x11eef04c884e24d9b7b4760e7476d06ddf797f36,1,0x11eef04c884e24d9b7b4760e7476d06ddf797f36,coinmarketcap,MX Token,MX,true,2024-10-22 02:11:00.05839+00,4041,18
1-0x1245ef80f4d9e02ed9425375e8f649b9221b31d8,1,0x1245ef80f4d9e02ed9425375e8f649b9221b31d8,coinmarketcap,ArbitrageCT,ARCT,true,2024-10-22 02:15:00.105077+00,2415,8
1-0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,1,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,coinmarketcap,NodeAI,GPU,true,2024-10-22 02:17:00.090605+00,29513,18
1-0x1294f4183763743c7c9519bec51773fb3acd78fd,1,0x1294f4183763743c7c9519bec51773fb3acd78fd,coinmarketcap,Fideum,FI,true,2024-10-22 02:12:00.06871+00,29072,18
1-0x12970e6868f88f6557b76120662c1b3e50a646bf,1,0x12970e6868f88f6557b76120662c1b3e50a646bf,coinmarketcap,Milady,LADYS,true,2024-10-22 02:08:00.070009+00,25023,18
1-0x12996c7b23c4012149bf9f5663ff9aa08a9cf2e4,1,0x12996c7b23c4012149bf9f5663ff9aa08a9cf2e4,coinmarketcap,White Yorkshire,WSH,true,2024-10-22 02:08:00.070009+00,31866,18
1-0x12b6893ce26ea6341919fe289212ef77e51688c8,1,0x12b6893ce26ea6341919fe289212ef77e51688c8,coinmarketcap,Tamadoge,TAMA,true,2024-10-22 02:18:00.077743+00,21968,18
1-0x13119e34e140097a507b07a5564bde1bc375d9e6,1,0x13119e34e140097a507b07a5564bde1bc375d9e6,coinmarketcap,MoneyToken,IMT,true,2024-10-22 02:11:00.05839+00,3243,18
1-0x1341a2257fa7b770420ef70616f888056f90926c,1,0x1341a2257fa7b770420ef70616f888056f90926c,coinmarketcap,Zoo Token,ZOOT,true,2024-10-22 02:08:00.070009+00,10005,9
1-0x139d9397274bb9e2c29a9aa8aa0b5874d30d62e3,1,0x139d9397274bb9e2c29a9aa8aa0b5874d30d62e3,coinmarketcap,BoutsPro,BOUTS,true,2024-10-22 02:13:00.086662+00,2717,18
1-0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,1,0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,coinmarketcap,BitKan,KAN,true,2024-10-22 02:13:00.086662+00,2934,18
1-0x14409b0fc5c7f87b5dad20754fe22d29a3de8217,1,0x14409b0fc5c7f87b5dad20754fe22d29a3de8217,coinmarketcap,PYRO Network,PYRO,true,2024-10-22 02:14:00.080781+00,5169,18
1-0x14778860e937f509e651192a90589de711fb88a9,1,0x14778860e937f509e651192a90589de711fb88a9,coinmarketcap,CyberConnect,CYBER,true,2024-10-22 02:17:00.090605+00,24781,18
1-0x147faf8de9d8d8daae129b187f0d02d819126750,1,0x147faf8de9d8d8daae129b187f0d02d819126750,coinmarketcap,GeoDB Coin,GEO,true,2024-10-22 02:11:00.05839+00,5590,18
1-0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,1,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,coinmarketcap,DeFi Pulse Index,DPI,true,2024-10-22 02:13:00.086662+00,7055,18
1-0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,1,0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,coinmarketcap,Zero1 Labs,DEAI,true,2024-10-22 02:14:00.080781+00,29734,18
1-0x14fee680690900ba0cccfc76ad70fd1b95d10e16,1,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,coinmarketcap,PAAL AI,PAAL,true,2024-10-22 02:17:00.090605+00,27178,9
1-0x153ed9cc1b792979d2bde0bbf45cc2a7e436a5f9,1,0x153ed9cc1b792979d2bde0bbf45cc2a7e436a5f9,coinmarketcap,XOVBank,XOV,true,2024-10-22 02:11:00.05839+00,3097,18
1-0x15874d65e649880c2614e7a480cb7c9a55787ff6,1,0x15874d65e649880c2614e7a480cb7c9a55787ff6,coinmarketcap,EthereumMax,eMax,true,2024-10-22 02:11:00.05839+00,9855,18
1-0x159a1dfae19057de57dfffcbb3da1ae784678965,1,0x159a1dfae19057de57dfffcbb3da1ae784678965,coinmarketcap,Reflex,RFX,true,2024-10-22 02:17:00.090605+00,7355,8
1-0x15bda08c3afbf5955d6e9b235fd55a1fd0dbc829,1,0x15bda08c3afbf5955d6e9b235fd55a1fd0dbc829,coinmarketcap,Alpha Coin,APC,true,2024-10-22 02:09:00.062665+00,3512,6
1-0x15c1cab705b9ddb9ffeeea608ed8bafcdd4c0396,1,0x15c1cab705b9ddb9ffeeea608ed8bafcdd4c0396,coinmarketcap,HXAcoin,HXA,true,2024-10-22 02:11:00.05839+00,26555,18
1-0x1614f18fc94f47967a3fbe5ffcd46d4e7da3d787,1,0x1614f18fc94f47967a3fbe5ffcd46d4e7da3d787,coinmarketcap,PAID Network,PAID,true,2024-10-22 02:14:00.080781+00,8329,18
1-0x163f8c2467924be0ae7b5347228cabf260318753,1,0x163f8c2467924be0ae7b5347228cabf260318753,coinmarketcap,Worldcoin,WLD,true,2024-10-22 02:09:00.062665+00,13502,18
1-0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,1,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,coinmarketcap,Route,ROUTE,true,2024-10-22 02:11:00.05839+00,8292,18
1-0x16f812be7fff02caf662b85d5d58a5da6572d4df,1,0x16f812be7fff02caf662b85d5d58a5da6572d4df,coinmarketcap,United Traders Token,UTT,true,2024-10-22 02:09:00.062665+00,2371,8
1-0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,1,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,coinmarketcap,Numeraire,NMR,true,2024-10-22 02:09:00.062665+00,1732,18
1-0x1796ae0b0fa4862485106a0de9b654efe301d0b2,1,0x1796ae0b0fa4862485106a0de9b654efe301d0b2,coinmarketcap,Polychain Monsters,PMON,true,2024-10-22 02:19:00.06987+00,8968,18
1-0x179e31fb25e433441a2839389a7b8ec9c4654b7b,1,0x179e31fb25e433441a2839389a7b8ec9c4654b7b,coinmarketcap,SynchroBitcoin,SNB,true,2024-10-22 02:16:00.07793+00,5277,18
1-0x17b26400621695c2d8c2d8869f6259e82d7544c4,1,0x17b26400621695c2d8c2d8869f6259e82d7544c4,coinmarketcap,CustomContractNetwork,CCN,true,2024-10-22 02:09:00.062665+00,3770,18
1-0x1864ce27e9f7517047933caae530674e8c70b8a7,1,0x1864ce27e9f7517047933caae530674e8c70b8a7,coinmarketcap,Pibble Token,PIB,true,2024-10-22 02:14:00.080781+00,3768,18
1-0x186ef81fd8e77eec8bffc3039e7ec41d5fc0b457,1,0x186ef81fd8e77eec8bffc3039e7ec41d5fc0b457,coinmarketcap,Inspect,INSP,true,2024-10-22 02:19:00.06987+00,28610,18
